X,Z,Magnitude,Flux
0.0,-19.099999999999984,0.45140749337247377,0.0
0.0,-18.999999999999993,0.4503222585090618,0.0
0.0,-18.90000000000001,0.44923927908960554,0.0
0.0,-18.799999999999965,0.44815855514714265,0.0
0.0,-18.69999999999998,0.44708008671574345,0.0
0.0,-18.599999999999998,0.4460038738305132,0.0
0.0,-18.500000000000007,0.4449299165275916,0.0
0.0,-18.400000000000016,0.4438582148441518,0.0
0.0,-18.299999999999983,0.4427887688184002,0.0
0.0,-18.199999999999996,0.4417215784895816,0.0
0.0,-18.100000000000005,0.4406566438979688,0.0
0.0,-18.000000000000014,0.4395939650848733,0.0
0.0,-17.899999999999984,0.43853354209263806,0.0
0.0,-17.799999999999994,0.4374753749646422,0.0
0.0,-17.700000000000003,0.4364194637452988,0.0
0.0,-17.600000000000016,0.43536580848005246,0.0
